user,role
ABONDAR,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
ABONDAR,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
ABONDAR,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
ABONDAR,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
ABONDAR,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
ABONDAR,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
AEROSHIN,PROFILE:sap.epm:System_Owner
AEROSHIN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
AKUZNIATSOU,PROFILE:sap.odc:Data_Catalog_Administrator
AKUZNIATSOU,PROFILE:sap.odc:Data_Catalog_User
AKUZNIATSOU,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
AKUZNIATSOU,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
AKUZNIATSOU,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
AKUZNIATSOU,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
AKUZNIATSOU,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
AKUZNIATSOU,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
AKUZNIATSOU,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
AKUZNIATSOU,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
AKUZNIATSOU,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
AKUZNIATSOU,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
AKUZNIATSOU,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
AMISIUK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
AMISIUK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
AMISIUK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
AMISIUK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
AMISIUK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
AMISIUK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
AMISIUK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
AMISIUK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
AMISIUK,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
APOBEGAILO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
APOBEGAILO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
APOBEGAILO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
APOBEGAILO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
APOBEGAILO,PROFILE:sap.epm:Security_Administrator
APOBEGAILO,PROFILE:sap.odc:Data_Catalog_User
APOBEGAILO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
APOBEGAILO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
APOBEGAILO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
APODVIGINA,PROFILE:sap.odc:Data_Catalog_User
APODVIGINA,PROFILE:sap.odc:Data_Catalog_Administrator
APODVIGINA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
APODVIGINA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
APODVIGINA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
APODVIGINA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
APODVIGINA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
APODVIGINA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
APODVIGINA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
APODVIGINA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
APODVIGINA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
APODVIGINA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
APODVIGINA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
APODVIGINA,PROFILE:sap.epm:Security_Administrator
APODVIGINA,PROFILE:t.11:ZDS_CONSUMER
APODVIGINA,PROFILE:t.11:ZDS_CONSUMER_SAP_Scope
APODVIGINA,PROFILE:t.11:ZDS_DEVELOPER
APODVIGINA,PROFILE:t.11:ZDS_USERMANAGER
APODVIGINA,PROFILE:t.11:ZDS_DEVELOPER_SAP_Scope
APODVIGINA,PROFILE:t.11:ZDS_USERMANAGER_SAP_Scope
ARUSAK,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
